dataset,pre_qc,pre_mean_len,pre_n50,pre_gc,pre_q20_fraction,pre_q30_fraction,post_qc,post_mean_len,post_n50,post_gc,post_q20_fraction,post_q30_fraction,primary_inserted_bases,primary_deleted_bases,primary_mismatches,primary_bases_mapped,primary_error_rate,primary_overall_error_rate
Alpha,826531,730.378909,682,0.585691,0.6957671869675632,0.5761377208594721,653767,679.115325,675,0.597519,0.9894768794539668,0.9714342464734097,1201736,3630901,7687166,420193986,0.01829433,0.02979529
AlphaQCH,825843,676.153408,674,0.582977,0.7543035540088276,0.6506975179981365,543787,672.95391,670,0.597201,0.9943822594164241,0.9838463114825785,620021,4122151,7113155,351710531,0.02022446,0.03370763
AlphaQCL,826581,786.781737,709,0.57369,0.6424533466465985,0.5254693470673637,632202,697.464858,696,0.594248,0.9918895984472595,0.9766686485946882,1484658,5486238,10930315,407235802,0.02684026,0.04395785
Beta,826632,789.769898,732,0.578757,0.5252805905046323,0.30680701590032133,601209,721.718371,722,0.596524,0.9715599166792271,0.9122771517979351,1925237,7529957,14258663,399295006,0.0357096,0.05938932
BetaQCH,826496,734.752986,726,0.579035,0.47366195702170266,0.21693165866848338,484833,712.322653,721,0.59611,0.970417294920783,0.9067386293794796,640153,8962813,12309016,319029139,0.03858273,0.06868332
BetaQCL,826654,835.940179,754,0.563518,0.4450647517499566,0.19438289494975172,477232,727.643987,738,0.593155,0.9653895701865008,0.8916306887132208,2097536,8075272,15635752,311304911,0.05022649,0.08290444
Gamma,826630,781.722178,724,0.580554,0.5553394931539891,0.3623154087399908,614020,716.145127,715,0.597611,0.9764143698201868,0.9257903436678043,1890994,7208783,13703987,408699565,0.03353071,0.05579591
GammaQCH,826547,789.074297,727,0.569819,0.5758176852298792,0.4243261019435282,567302,712.267216,718,0.596314,0.9863358457824705,0.9581873376292642,1255689,9258214,14848086,374473132,0.0396506,0.06772713
GammaQCL,826625,828.648344,740,0.569774,0.5157876008251593,0.3280584697071141,582403,725.297813,727,0.595566,0.9775787465518887,0.9305412851636838,1978515,7708496,14861683,385876631,0.03851408,0.06361799
UDP0057,1694634,687.0,687,0.599638,0.6531661393003636,0.5704552480396384,1694634,687.0,687,0.599638,0.9783240717476576,0.9560357527482392,157618,157618,10276561,1164163623,0.00882742,0.0090982
sup,827519,911.39828,748,0.550455,0.5842291694870139,0.4762977089799912,457205,728.992345,737,0.592776,0.990278722772028,0.9742035512171033,3798104,5626650,17975650,306008137,0.05874239,0.08954142
