dataset,passed reads,failed_indel,failed_coverage,failed_dual_site,failed_mut_codon_library,pass_reads_0_codon_mutations,pass_reads_1_codon_mutations,pass_reads_2_codon_mutations,pass_rate,unique_variants,avg_dms_nucleotide_mismatches_per_read,avg_framework_nucleotide_mismatches_per_read,avg_net_nucleotide_mismatches_per_read,avg_dms_codon_mismatches_per_read,avg_framework_codon_mismatches_per_read,avg_net_codon_mismatches_per_read,dms_bases_compared,framework_bases_compared,dms_codons_compared,framework_codons_compared,dms_nt_mismatch_rate_per_base,framework_nt_mismatch_rate_per_base,net_nt_mismatch_rate_per_base,dms_codon_mismatch_rate_per_codon,framework_codon_mismatch_rate_per_codon,net_codon_mismatch_rate_per_codon,polished_mismatches,polished_bases_mapped,polished_error_rate,polished_overall_error_rate,pipeline_pass_rate
Alpha,253187,292783,60561,29128,18108,9148,53074,190965,0.3872740594,117476,3.700715282,0.1234976519,3.57721763,1.718113489,0.1099898494,1.60812364,35680581,128880136,11899256,43074601,0.02626002643,0.0002426130277,0.0260174134,0.03655724358,0.0006465062787,0.0359107373,936973,173939469,0.00538678,0.00538678,0.3063248686
AlphaQCH,237170,226161,43995,28518,7943,4676,36299,196195,0.4361450347,118422,3.933537125,0.143711262,3.789825863,1.807517814,0.126314458,1.681203356,33428355,121808160,11146775,40711120,0.02790795419,0.00027981705,0.02762813714,0.03845856761,0.0007358677433,0.03772269987,932917,162935790,0.00572567,0.00572567,0.2871853367
AlphaQCL,234161,311633,46164,30363,9881,4944,37533,191684,0.3703895274,117315,3.899885122,0.1925555494,3.707329572,1.797485491,0.1694389757,1.628046515,33003626,119877624,11005339,40079556,0.02766971726,0.0003761252392,0.02729359202,0.03824516446,0.000989931126,0.03725523333,913201,160868607,0.00567669,0.00567669,0.2832886311
Beta,164618,368788,34662,24423,8718,4266,30904,129448,0.273811603,88668,3.80514889,0.3573789015,3.447769989,1.76043932,0.3044442285,1.455995092,23200575,89326570,7736850,29833323,0.02699915843,0.0006586058325,0.02634055259,0.03745710464,0.001679900023,0.03577720461,626396,113092566,0.00553879,0.00553879,0.1991430286
BetaQCH,118889,319434,23855,16404,6251,2854,22661,93374,0.2452163941,69342,3.854763687,0.3867641245,3.467999563,1.761382466,0.3274062361,1.43397623,16757374,64510372,5587660,21537848,0.02734849744,0.0007127846046,0.02663571284,0.03747704764,0.001807283625,0.03566976401,458289,81676743,0.00561101,0.00561101,0.1438470362
BetaQCL,106129,318104,28199,18799,6001,2745,20249,83135,0.2223845006,63831,3.83146925,0.542349405,3.289119845,1.757474394,0.4588378294,1.298636565,14958434,57092997,4988002,19060627,0.02718399533,0.001008162174,0.02617583316,0.03739352951,0.002554795286,0.03483873423,406630,72910623,0.0055771,0.0055771,0.128383822
Gamma,177167,366985,35866,25790,8212,4223,31095,141849,0.288536204,94634,3.837554398,0.3163004397,3.521253958,1.776815095,0.2689778571,1.507837238,24969700,96138615,8326633,32105581,0.02722852097,0.0005828875317,0.02664563344,0.03780555718,0.001484290224,0.03632126696,679888,121713729,0.00558596,0.00558596,0.2143244257
GammaQCH,169872,338992,29553,23108,5777,3691,28563,137618,0.2994383944,92624,3.905099133,0.3882511538,3.51684798,1.788399501,0.3312965056,1.457102995,23943406,92131679,7983876,30751089,0.02770562384,0.000715855835,0.026989768,0.03805156794,0.001830114049,0.03622145389,663367,116702064,0.00568428,0.00568428,0.2055200733
GammaQCL,166063,352375,32577,22862,8526,5249,35830,124984,0.2851341769,86538,3.732679766,0.3426290022,3.390050764,1.72102154,0.2910642347,1.429957305,23403938,89999552,7804825,30046003,0.02648528637,0.000632203147,0.02585308322,0.03661811764,0.001608699833,0.03500941781,619860,114085281,0.0054333,0.0054333,0.2008927869
UDP0057,703635,4306,117049,787459,82185,27225,157285,519125,0.4152135505,273284,3.518652426,0.8579490787,2.660703348,1.699084042,0.8525002309,0.8465838112,99193585,384167421,33070845,128056403,0.02495974916,0.001571406025,0.02338834314,0.0361507243,0.004684256202,0.0314664681,2475847,483397245,0.00512176,0.00512176,0.4152135505
sup,65509,356189,12254,21793,1460,924,7732,56853,0.1432814602,46573,4.068570731,1.555267215,2.513303516,1.853760552,1.337297165,0.5164633867,9233909,35555640,3078902,11870415,0.0288640488,0.002865480694,0.02599856811,0.03944198289,0.007380112658,0.03206187023,266528,45004683,0.00592223,0.00592223,0.079163137
