display_name,family,variant,dms_mutation_events,mean_abs_difference,median_abs_difference,p95_abs_difference,mean_signed_difference,positive_event_count,negative_event_count,within_0p001_share,within_0p002_share
Alpha,Alpha,base,350,0.0014290220253531203,0.0011834538526759343,0.003789281576843951,0.0005118972150326014,230,120,0.4142857142857143,0.7628571428571429
AlphaQCH,Alpha,QCH,350,0.001314055965288516,0.0011111192656937884,0.003049586122200133,0.0010067834751541593,285,65,0.4342857142857143,0.7885714285714286
AlphaQCL,Alpha,QCL,350,0.0013163736236805848,0.001128928246323718,0.0030310060252953185,0.000924932819075124,274,76,0.45714285714285713,0.7657142857142857
Beta,Beta,base,350,0.0015753117167705876,0.0013612926537593401,0.003761185019883711,0.000703158255360163,236,114,0.4,0.6942857142857143
BetaQCH,Beta,QCH,350,0.0015431430534464813,0.001325605728901569,0.0038736863901231364,0.0008265713902592837,255,95,0.4,0.7228571428571429
BetaQCL,Beta,QCL,350,0.001536716549897597,0.0011722923420659126,0.004001135955561891,0.0007797854935235562,243,107,0.4257142857142857,0.7371428571428571
Gamma,Gamma,base,350,0.0015743341072016704,0.0013312496820254245,0.0037972154314813906,0.0007742440391639787,247,103,0.38571428571428573,0.6942857142857143
GammaQCH,Gamma,QCH,350,0.001428034130872171,0.0012283805965477624,0.003272150106393755,0.0009473103781862897,278,72,0.3942857142857143,0.7485714285714286
GammaQCL,Gamma,QCL,350,0.0015494705516104546,0.001351081781248516,0.003656845883239824,0.0005549702332727053,235,115,0.4085714285714286,0.7114285714285714
sup,sup,sup,350,0.0015639211973401748,0.0013616910888092065,0.004021177662725734,0.0013328659750532004,304,46,0.38,0.7428571428571429
