name,base_model,family,variant,seed_index,seed_label,seed,training_input,min_accuracy_save_ctc,lr,batch,training_chunks,validation_chunks,run_dir,model_wrapper_dir
Alpha_s01,Alpha,Alpha,base,1,s01,1608668,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s01,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s01
Alpha_s02,Alpha,Alpha,base,2,s02,800022071,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s02,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s02
Alpha_s03,Alpha,Alpha,base,3,s03,1364179249,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s03,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s03
Alpha_s04,Alpha,Alpha,base,4,s04,1418059007,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s04,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s04
Alpha_s05,Alpha,Alpha,base,5,s05,2068136963,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s05,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s05
Alpha_s06,Alpha,Alpha,base,6,s06,2072361201,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s06,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s06
Alpha_s07,Alpha,Alpha,base,7,s07,2891725340,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s07,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s07
Alpha_s08,Alpha,Alpha,base,8,s08,2575967173,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s08,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s08
Alpha_s09,Alpha,Alpha,base,9,s09,2918267749,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s09,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s09
Alpha_s10,Alpha,Alpha,base,10,s10,3763609086,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_full,0,0.00001,20,27063,2700,/mnt/experimental/ont/seeded_bonito_v1/runs/Alpha/Alpha_s10,/mnt/experimental/ont/seeded_bonito_v1/models/Alpha_s10
AlphaQCL_s01,AlphaQCL,Alpha,QCL,1,s01,1608668,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s01,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s01
AlphaQCL_s02,AlphaQCL,Alpha,QCL,2,s02,800022071,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s02,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s02
AlphaQCL_s03,AlphaQCL,Alpha,QCL,3,s03,1364179249,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s03,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s03
AlphaQCL_s04,AlphaQCL,Alpha,QCL,4,s04,1418059007,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s04,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s04
AlphaQCL_s05,AlphaQCL,Alpha,QCL,5,s05,2068136963,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s05,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s05
AlphaQCL_s06,AlphaQCL,Alpha,QCL,6,s06,2072361201,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s06,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s06
AlphaQCL_s07,AlphaQCL,Alpha,QCL,7,s07,2891725340,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s07,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s07
AlphaQCL_s08,AlphaQCL,Alpha,QCL,8,s08,2575967173,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s08,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s08
AlphaQCL_s09,AlphaQCL,Alpha,QCL,9,s09,2918267749,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s09,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s09
AlphaQCL_s10,AlphaQCL,Alpha,QCL,10,s10,3763609086,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0,0.00001,20,21136,2100,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCL/AlphaQCL_s10,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCL_s10
AlphaQCH_s01,AlphaQCH,Alpha,QCH,1,s01,1608668,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s01,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s01
AlphaQCH_s02,AlphaQCH,Alpha,QCH,2,s02,800022071,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s02,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s02
AlphaQCH_s03,AlphaQCH,Alpha,QCH,3,s03,1364179249,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s03,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s03
AlphaQCH_s04,AlphaQCH,Alpha,QCH,4,s04,1418059007,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s04,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s04
AlphaQCH_s05,AlphaQCH,Alpha,QCH,5,s05,2068136963,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s05,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s05
AlphaQCH_s06,AlphaQCH,Alpha,QCH,6,s06,2072361201,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s06,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s06
AlphaQCH_s07,AlphaQCH,Alpha,QCH,7,s07,2891725340,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s07,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s07
AlphaQCH_s08,AlphaQCH,Alpha,QCH,8,s08,2575967173,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s08,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s08
AlphaQCH_s09,AlphaQCH,Alpha,QCH,9,s09,2918267749,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s09,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s09
AlphaQCH_s10,AlphaQCH,Alpha,QCH,10,s10,3763609086,/mnt/experimental/ont/seeded_bonito_v1/inputs/A_filtered,0.99,0.0002,40,10339,1000,/mnt/experimental/ont/seeded_bonito_v1/runs/AlphaQCH/AlphaQCH_s10,/mnt/experimental/ont/seeded_bonito_v1/models/AlphaQCH_s10
Beta_s01,Beta,Beta,base,1,s01,1608668,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s01,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s01
Beta_s02,Beta,Beta,base,2,s02,800022071,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s02,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s02
Beta_s03,Beta,Beta,base,3,s03,1364179249,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s03,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s03
Beta_s04,Beta,Beta,base,4,s04,1418059007,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s04,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s04
Beta_s05,Beta,Beta,base,5,s05,2068136963,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s05,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s05
Beta_s06,Beta,Beta,base,6,s06,2072361201,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s06,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s06
Beta_s07,Beta,Beta,base,7,s07,2891725340,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s07,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s07
Beta_s08,Beta,Beta,base,8,s08,2575967173,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s08,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s08
Beta_s09,Beta,Beta,base,9,s09,2918267749,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s09,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s09
Beta_s10,Beta,Beta,base,10,s10,3763609086,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_full,0,0.0000017,40,57394,5700,/mnt/experimental/ont/seeded_bonito_v1/runs/Beta/Beta_s10,/mnt/experimental/ont/seeded_bonito_v1/models/Beta_s10
BetaQCL_s01,BetaQCL,Beta,QCL,1,s01,1608668,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0,0.00001,45,14911,1500,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCL/BetaQCL_s01,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCL_s01
BetaQCL_s02,BetaQCL,Beta,QCL,2,s02,800022071,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0,0.00001,45,14911,1500,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCL/BetaQCL_s02,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCL_s02
BetaQCL_s03,BetaQCL,Beta,QCL,3,s03,1364179249,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0,0.00001,45,14911,1500,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCL/BetaQCL_s03,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCL_s03
BetaQCL_s04,BetaQCL,Beta,QCL,4,s04,1418059007,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0,0.00001,45,14911,1500,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCL/BetaQCL_s04,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCL_s04
BetaQCL_s05,BetaQCL,Beta,QCL,5,s05,2068136963,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0,0.00001,45,14911,1500,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCL/BetaQCL_s05,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCL_s05
BetaQCL_s06,BetaQCL,Beta,QCL,6,s06,2072361201,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0,0.00001,45,14911,1500,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCL/BetaQCL_s06,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCL_s06
BetaQCL_s07,BetaQCL,Beta,QCL,7,s07,2891725340,/mnt/experimental/ont/seeded_bonito_v1/inputs/B_filtered,0,0.00001,45,14911,1500,/mnt/experimental/ont/seeded_bonito_v1/runs/BetaQCL/BetaQCL_s07,/mnt/experimental/ont/seeded_bonito_v1/models/BetaQCL_s07
