name,display_name,family,variant,sort_order,seed_index,seed_label,seed,threshold,weighted_jaccard,jensen_shannon_similarity,exact_overlap_mass,intersection_variants,source_variants,groundtruth_variants,precision,recall,f1
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,1,0.24062615884508365,0.6209665639903261,0.49576387885609036,74836.0,117810.0,273284.0,0.6352262116967999,0.2738396686231173,0.3827008340705815
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,2,0.28691727180136056,0.7430359665974223,0.6029338204078158,25504.0,38390.0,107484.0,0.6643396717895286,0.2372818279930036,0.34967163442422916
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,3,0.31613787666045085,0.819573491822727,0.6740723794971959,12691.0,18017.0,53134.0,0.70439029805184,0.23884894794293673,0.3567342693707748
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,4,0.3320917080911543,0.866534260748063,0.7184455046462976,7218.0,9870.0,30491.0,0.731306990881459,0.23672559115804664,0.35767201010876837
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,5,0.33991235467835273,0.8963064994000977,0.7514636206614743,4730.0,6168.0,19331.0,0.7668612191958496,0.24468470332626352,0.37099494097807756
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,6,0.34366029077364724,0.9168952670425651,0.7760168606037383,3340.0,4133.0,13072.0,0.8081296878780547,0.2555079559363525,0.38825922696890436
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,7,0.3450488803022304,0.9305296309637339,0.7936999541603988,2581.0,3056.0,9309.0,0.8445680628272252,0.2772585669781931,0.4174686615446826
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,8,0.34525467468825377,0.9402534164756072,0.807524544811338,2148.0,2442.0,6930.0,0.8796068796068796,0.30995670995670993,0.45838668373879643
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,9,0.34454474714789285,0.9471352391241624,0.8178682890225243,1833.0,2019.0,5290.0,0.9078751857355126,0.3465028355387524,0.501573402654262
Alpha_s01,Alpha,Alpha,base,0,1,s01,1608668,10,0.3430847636862895,0.9519061351534273,0.8256177575520194,1668.0,1786.0,4234.0,0.9339305711086227,0.3939537080774681,0.5541528239202658
Alpha_s02,Alpha,Alpha,base,0,2,s02,800022071,1,0.2429861023856125,0.6219930765543117,0.49727612163453516,75156.0,118633.0,273284.0,0.6335168123540668,0.27501061167137486,0.3835301862384128
Alpha_s02,Alpha,Alpha,base,0,2,s02,800022071,2,0.28995275152862704,0.7440983386629754,0.6045534265262122,25519.0,38473.0,107484.0,0.663296337691368,0.23742138364779874,0.34967832991908576
Alpha_s02,Alpha,Alpha,base,0,2,s02,800022071,3,0.31975172047531586,0.8200823098938477,0.6749977646910206,12639.0,18058.0,53134.0,0.6999113966109204,0.2378702902096586,0.35506798516687266
Alpha_s02,Alpha,Alpha,base,0,2,s02,800022071,4,0.33651179748668025,0.8670478287063547,0.7194624367874657,7262.0,9940.0,30491.0,0.7305835010060362,0.2381686399265357,0.3592293042467414
Alpha_s02,Alpha,Alpha,base,0,2,s02,800022071,5,0.34495310995393796,0.8971700139457561,0.7528940308406782,4703.0,6122.0,19331.0,0.7682130022868344,0.24328798303243496,0.36954386516324206
Alpha_s02,Alpha,Alpha,base,0,2,s02,800022071,6,0.3490316011067416,0.9170606831023238,0.776637015312844,3338.0,4133.0,13072.0,0.8076457778853133,0.25535495716034273,0.38802673641383323
Alpha_s02,Alpha,Alpha,base,0,2,s02,800022071,7,0.35101060187038996,0.9304991729430603,0.7939729436923315,2601.0,3084.0,9309.0,0.8433852140077821,0.279407025459233,0.41975308641975306
Alpha_s02,Alpha,Alpha,base,0,2,s02,800022071,8,0.35183736667509036,0.9402361089590443,0.8076841581414842,2141.0,2443.0,6930.0,0.8763814981580025,0.30894660894660897,0.45684412674703934
