dataset,extractor_total_reads,extractor_kept_reads,extractor_dropped_reads,extractor_keep_fraction,filter_total_reads,filter_kept_unique_reads,filter_duplicate_umi_reads,filter_missing_umi_reads,filter_unique_fraction_of_extracted,overlap_fastq1_reads,overlap_fastq2_reads,overlap_fastq1_unique_umis,overlap_fastq2_unique_umis,overlapping_unique_umis_vs_udp0057,overlap_fraction_vs_udp0057_unique,max_mismatch,input_fastq,unique_umi_fastq
Alpha,653767,0,653767,0.0,0,0,0,0,0.0,0,1694634,0,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/001_Alpha/001_Alpha.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/001_Alpha/001_Alpha.unique.umi.fq
AlphaQCL,632202,38,632164,6.01073707454263e-05,38,38,0,0,1.0,38,1694634,38,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/002_AlphaQCL/002_AlphaQCL.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/002_AlphaQCL/002_AlphaQCL.unique.umi.fq
AlphaQCH,543787,10,543777,1.838955326258259e-05,10,10,0,0,1.0,10,1694634,10,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/003_AlphaQCH/003_AlphaQCH.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/003_AlphaQCH/003_AlphaQCH.unique.umi.fq
Beta,601209,83,601126,0.000138055152201647,83,83,0,0,1.0,83,1694634,83,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/004_Beta/004_Beta.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/004_Beta/004_Beta.unique.umi.fq
BetaQCL,477232,1726,475506,0.003616689576558152,1726,1726,0,0,1.0,1726,1694634,1726,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/005_BetaQCL/005_BetaQCL.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/005_BetaQCL/005_BetaQCL.unique.umi.fq
BetaQCH,484833,72,484761,0.00014850474287022542,72,72,0,0,1.0,72,1694634,72,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/006_BetaQCH/006_BetaQCH.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/006_BetaQCH/006_BetaQCH.unique.umi.fq
Gamma,614020,90,613930,0.00014657503012931175,90,90,0,0,1.0,90,1694634,90,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/007_Gamma/007_Gamma.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/007_Gamma/007_Gamma.unique.umi.fq
GammaQCL,582403,235,582168,0.0004035006687808957,235,235,0,0,1.0,235,1694634,235,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/008_GammaQCL/008_GammaQCL.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/008_GammaQCL/008_GammaQCL.unique.umi.fq
GammaQCH,567302,291,567011,0.0005129542994736489,291,291,0,0,1.0,291,1694634,291,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/009_GammaQCH/009_GammaQCH.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/009_GammaQCH/009_GammaQCH.unique.umi.fq
sup,457205,40850,416355,0.08934722936100874,40850,40684,166,0,0.9959363525091799,40684,1694634,40684,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/010_sup/010_sup.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/010_sup/010_sup.unique.umi.fq
UDP0057,1694634,0,1694634,0.0,0,0,0,0,0.0,0,1694634,0,1689142,0,0.0,0,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/011_UDP0057.fq/011_UDP0057.fq.aligned.fq,/home/kang/experimental/COMPX593-Thesis/src/ipynb/plot/test/011_UDP0057.fq/011_UDP0057.fq.unique.umi.fq
