name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,component,component_label,component_order,numel,delta_l1_sum,delta_l2_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,tail_abs_delta_z_gt_1p0_count,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_count,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_count,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_count,tail_abs_delta_z_gt_5p0_fraction,p999_abs_delta_z_approx,delta_energy_share
Alpha,Alpha,Alpha,Alpha,base,,,0,conv,Convolution front-end,0,570560,1018.2830389738083,4.8244650001843645,69.34958421627893,69.53234839782658,0.06956732408284308,0.9975900634897719,0.021967891194615816,150,0.00026289960740325294,8,1.4021312394840156e-05,2,3.505328098710039e-06,0,0.0,0.6031678840455761,0.2867276734701801
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_self_attn,Transformer self-attention,1,18883584,12227.982018589973,3.5747174733852694,329.42211021658665,329.29340549523704,0.010851480099605253,0.9999396122345912,0.00429505331191367,0,0.0,0,0.0,0,0.0,0,0.0,0.05259953308552891,0.1574181256345347
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_ffn,Transformer FFN,2,56623104,38132.244201660156,6.413516612641882,510.4324132881417,509.9258254021945,0.012564869404211221,0.9999184490514,0.004301883556224682,0,0.0,0,0.0,0,0.0,0,0.0,0.04669306877223481,0.5067149743278833
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_norm_deepnorm,Transformer norm/deepnorm,3,18450,15.963812589645386,0.16496592947267671,41.78867999301332,41.88023020406885,0.003947622406361089,0.999994758031609,0.002168021680216802,0,0.0,0,0.0,0,0.0,0,0.0,0.38397996581068505,0.00033524306864011116
Alpha,Alpha,Alpha,Alpha,base,,,0,upsample,Upsample,4,525312,461.5145927667618,0.7980427599363551,46.808640365494604,46.82092962139975,0.017049048075419473,0.9998535522091899,0.005781326145224172,0,0.0,0,0.0,0,0.0,0,0.0,0.06430303073669123,0.007845553973077053
Alpha,Alpha,Alpha,Alpha,base,,,0,crf,CRF head,5,2097152,2135.654541015625,1.8234170136203904,48.61623023021093,48.46926126019846,0.0375063431489028,0.9992960096380006,0.01239776611328125,0,0.0,0,0.0,0,0.0,0,0.0,0.1292268764847254,0.040958429525684854
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv,Convolution front-end,0,570560,956.9512621164322,4.61939943205525,69.34958421627893,70.2546516724641,0.06661034070007933,0.9978941315902544,0.02139301738642737,47,8.237521031968593e-05,8,1.4021312394840156e-05,2,3.505328098710039e-06,0,0.0,0.5042872096052956,0.24418506324086373
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_self_attn,Transformer self-attention,1,18883584,13072.020459830761,3.8246455083492235,329.42211021658665,329.2818535711606,0.011610166378433448,0.9999311497538679,0.004593725428393254,0,0.0,0,0.0,0,0.0,0,0.0,0.054973737509515924,0.1673903579292447
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_ffn,Transformer FFN,2,56623104,40583.52520751953,6.8231794617301516,510.4324132881417,509.90470540459813,0.013367449409758425,0.9999081117133396,0.004576718365704572,0,0.0,0,0.0,0,0.0,0,0.0,0.051162361735440066,0.5327477813571679
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_norm_deepnorm,Transformer norm/deepnorm,3,18450,16.142033874988556,0.16185228598416462,41.78867999301332,41.87854364688448,0.0038731131495711507,0.9999949913749505,0.002168021680216802,0,0.0,0,0.0,0,0.0,0,0.0,0.3118312705050208,0.00029976832199615723
