name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,aggregate,component,component_label,bin_index,bin_left,bin_right,bin_mid,count,cumulative_count,cumulative_fraction,total_count
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,0,0.0,1e-08,5e-09,1382557,1382557,0.017563380100261997,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,1,1e-08,1.333521432163324e-08,1.1547819846894582e-08,2,1382559,0.01756340550735928,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,2,1.333521432163324e-08,1.7782794100389228e-08,1.539926526059492e-08,1,1382560,0.017563418210907924,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,3,1.7782794100389228e-08,2.371373705661655e-08,2.053525026457146e-08,0,1382560,0.017563418210907924,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,4,2.371373705661655e-08,3.162277660168379e-08,2.7384196342643613e-08,1,1382561,0.017563430914456564,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,5,3.162277660168379e-08,4.2169650342858225e-08,3.651741272548377e-08,0,1382561,0.017563430914456564,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,6,4.2169650342858225e-08,5.6234132519034905e-08,4.8696752516586306e-08,4,1382565,0.017563481728651135,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,7,5.6234132519034905e-08,7.498942093324559e-08,6.493816315762114e-08,3,1382568,0.017563519839297062,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,8,7.498942093324559e-08,1e-07,8.659643233600654e-08,6,1382574,0.017563596060588913,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,9,1e-07,1.333521432163324e-07,1.1547819846894582e-07,5,1382579,0.017563659578332128,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,10,1.333521432163324e-07,1.7782794100389227e-07,1.539926526059492e-07,3,1382582,0.017563697688978055,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,11,1.7782794100389227e-07,2.3713737056616554e-07,2.053525026457146e-07,10,1382592,0.017563824724464477,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,12,2.3713737056616554e-07,3.162277660168379e-07,2.7384196342643614e-07,12,1382604,0.017563977167048182,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,13,3.162277660168379e-07,4.2169650342858225e-07,3.651741272548377e-07,20,1382624,0.01756423123802103,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,14,4.2169650342858225e-07,5.62341325190349e-07,4.869675251658631e-07,24,1382648,0.017564536123188444,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,15,5.62341325190349e-07,7.498942093324558e-07,6.493816315762113e-07,25,1382673,0.017564853711904502,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,16,7.498942093324558e-07,1e-06,8.659643233600654e-07,35,1382708,0.017565298336106983,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,17,1e-06,1.333521432163324e-06,1.1547819846894582e-06,60,1382768,0.01756606054902552,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,18,1.333521432163324e-06,1.7782794100389227e-06,1.539926526059492e-06,80,1382848,0.017567076832916906,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,19,1.7782794100389227e-06,2.3713737056616552e-06,2.053525026457146e-06,111,1382959,0.0175684869268162,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,20,2.3713737056616552e-06,3.162277660168379e-06,2.7384196342643613e-06,170,1383129,0.017570646530085395,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,21,3.162277660168379e-06,4.216965034285822e-06,3.651741272548377e-06,319,1383448,0.01757469896210229,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,22,4.216965034285822e-06,5.623413251903491e-06,4.869675251658631e-06,273,1383721,0.01757816703088164,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,23,5.623413251903491e-06,7.498942093324558e-06,6.493816315762113e-06,653,1384374,0.017586462448145067,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,24,7.498942093324558e-06,9.999999999999999e-06,8.659643233600652e-06,735,1385109,0.017595799556397163,78718162
