name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,component,component_label,component_order,layer,submodule_group,numel,delta_l1_sum,delta_l2_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,tail_abs_delta_z_gt_1p0_count,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_count,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_count,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_count,tail_abs_delta_z_gt_5p0_fraction,p999_abs_delta_z_approx,delta_energy_share
Alpha,Alpha,Alpha,Alpha,base,,,0,conv,Convolution front-end,0,0.0,Conv,384,17.615575432777405,2.6611771655105008,14.461701556876564,16.90036478043933,0.18401549465283512,0.9976784482478915,0.2526041666666667,2,0.005208333333333333,0,0.0,0,0.0,0,0.0,1.6074923465346864,0.08724064487876768
Alpha,Alpha,Alpha,Alpha,base,,,0,conv,Convolution front-end,0,1.0,Conv,20544,128.62090063095093,2.828518539783339,46.497315688230195,45.93533025275521,0.06083186734367242,0.998201017774081,0.08172702492211838,9,0.0004380841121495327,0,0.0,0,0.0,0,0.0,0.7247818652662539,0.09855742542037255
Alpha,Alpha,Alpha,Alpha,base,,,0,conv,Convolution front-end,0,2.0,Conv,73856,282.06631994247437,2.1349887015872357,38.04358883556148,37.917423573299544,0.05611953989975535,0.9984257464978658,0.01948386048526863,9,0.00012185875216637782,0,0.0,0,0.0,0,0.0,0.48197583222218154,0.0561516409975765
Alpha,Alpha,Alpha,Alpha,base,,,0,conv,Convolution front-end,0,3.0,Conv,147584,214.08122515678406,1.2852882039236013,19.38435817030847,19.942440365571485,0.06630543000862649,0.9982661197420741,0.005969481786643539,40,0.0002710320901994796,7,4.7430615784908936e-05,2,1.355160450997398e-05,0,0.0,0.6814801818397729,0.020350371138383103
Alpha,Alpha,Alpha,Alpha,base,,,0,conv,Convolution front-end,0,4.0,Conv,328192,375.89901781082153,1.4081686613545408,24.802331738681307,24.569058598239934,0.056775656264540945,0.9984176893204137,0.025710559672386897,90,0.00027422971918876753,1,3.046996879875195e-06,0,0.0,0,0.0,0.5644740020113083,0.02442759103508027
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_self_attn,Transformer self-attention,1,0.0,Self-attention,1049088,574.1147443652153,0.7246247173402378,72.72642185497955,72.69244852876237,0.009963706433752084,0.9999489968710946,0.007684770009760859,0,0.0,0,0.0,0,0.0,0,0.0,0.07857900155099959,0.006468410576766438
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_self_attn,Transformer self-attention,1,1.0,Self-attention,1049088,613.3670381903648,0.7676334181606318,62.75676637620779,62.70602917760169,0.012231882910583535,0.9999239161067841,0.00557055270863836,0,0.0,0,0.0,0,0.0,0,0.0,0.05413702789210576,0.007259037446216958
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_self_attn,Transformer self-attention,1,2.0,Self-attention,1049088,660.4182123541832,0.813078603764874,72.67765985494144,72.62944598016112,0.011187462631401452,0.9999360914775277,0.004503911969253294,0,0.0,0,0.0,0,0.0,0,0.0,0.04468224913653121,0.008143973579563282
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_self_attn,Transformer self-attention,1,3.0,Self-attention,1049088,666.0706535577774,0.819893321610143,76.67362987359456,76.63933163133869,0.01069328950464224,0.9999415747591086,0.004315176610541728,0,0.0,0,0.0,0,0.0,0,0.0,0.041032663752899934,0.008281061089521324
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_self_attn,Transformer self-attention,1,4.0,Self-attention,1049088,653.5290666818619,0.8042459527467091,78.77963763724014,78.74748571711527,0.010208804925582973,0.9999463995140327,0.003643164348462665,0,0.0,0,0.0,0,0.0,0,0.0,0.03926594460221114,0.007967995107373619
