name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,tensor,tensor_stem,component,component_label,component_order,layer,submodule,submodule_group,shape,numel,baseline_mean,baseline_std,tuned_mean,tuned_std,delta_mean,delta_std,delta_l1_sum,delta_l2_norm,delta_linf_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,abs_delta_q500,abs_delta_q950,abs_delta_q990,abs_delta_q999,abs_delta_z_q500,abs_delta_z_q950,abs_delta_z_q990,abs_delta_z_q999,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_fraction
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.0.conv.bias.tensor,conv.0.conv.bias,conv,Convolution front-end,0,0.0,conv_bias,Conv,64,64,-0.34886807203292847,0.4828624725341797,-0.34971413016319275,0.48164477944374084,-0.0008460301323793828,0.024626757949590683,0.7649704217910767,0.19713027956646834,0.14187553524971008,4.765644611255755,4.761725158937443,0.041364872047075035,0.9991441085387511,0.046875,0.0029296875,0.04762447252869606,0.09061256051063538,0.136749267578125,0.006067333277314901,0.09862947463989258,0.18765708804130554,0.28320541977882385,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.0.conv.weight.tensor,conv.0.conv.weight,conv,Convolution front-end,0,0.0,conv_weight,Conv,64x1x5,320,-0.001664625247940421,0.7632753252983093,-0.0018994687125086784,0.9064821004867554,-0.00023483470431528986,0.1483554244041443,16.850605010986328,2.6538657763934763,1.0401477813720703,13.653916777224586,16.215680781967073,0.1943666289822465,0.9989151342029676,0.29374998807907104,0.0028274543583393097,0.25797784328460693,0.7439681887626648,1.0137583017349243,0.0037043702322989702,0.3379879295825958,0.974704921245575,1.3281686305999756,0.0062500000931322575,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.1.conv.bias.tensor,conv.1.conv.bias,conv,Convolution front-end,0,1.0,conv_bias,Conv,64,64,-0.35623908042907715,3.126411199569702,-0.39006975293159485,3.078227996826172,-0.03383062034845352,0.19429577887058258,7.02051305770874,1.5777524753938592,0.9891786575317383,25.173133406626448,24.822753017802285,0.06267604631922688,0.9981063046528305,0.0,0.05382281541824341,0.44886526465415955,0.6975294351577759,0.9600139260292053,0.017215527594089508,0.14357206225395203,0.2231086641550064,0.30706578493118286,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.1.conv.weight.tensor,conv.1.conv.weight,conv,Convolution front-end,0,1.0,conv_weight,Conv,64x64x5,20480,-0.005043329205363989,0.2731286585330963,-0.005427834112197161,0.27002623677253723,-0.00038450522697530687,0.01639982871711254,121.60038757324219,2.3475975498978996,0.30745840072631836,39.093653202318215,38.65081497260925,0.060050605599545996,0.9982411914970889,0.08198241889476776,0.0015584919601678848,0.024442942813038826,0.06569366157054901,0.19734643399715424,0.00570607278496027,0.08949241042137146,0.24052277207374573,0.7225401997566223,0.0004394531133584678,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.2.conv.bias.tensor,conv.2.conv.bias,conv,Convolution front-end,0,2.0,conv_bias,Conv,128,128,-0.23985695838928223,0.8994260430335999,-0.24644052982330322,0.8947169184684753,-0.006583569571375847,0.05640542134642601,4.410436153411865,0.642486658514415,0.252943754196167,10.53146805806331,10.499531690054049,0.061006372043491186,0.9981380661889826,0.0078125,0.01949542760848999,0.1299043893814087,0.21184508502483368,0.24843432009220123,0.021675409749150276,0.14443032443523407,0.23553363978862762,0.2762143015861511,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.2.conv.weight.tensor,conv.2.conv.weight,conv,Convolution front-end,0,2.0,conv_weight,Conv,128x64x9,73728,0.0019348718924447894,0.13461939990520477,0.0018932305974885821,0.1341702789068222,-4.164149140706286e-05,0.007498245220631361,277.6558837890625,2.036022507129067,0.26652073860168457,36.55684384668964,36.434747765375874,0.05569470153571206,0.9984496328979171,0.0195041224360466,0.0016543231904506683,0.014495146460831165,0.029050925746560097,0.06285334378480911,0.012288889847695827,0.10767500847578049,0.21580040454864502,0.46689656376838684,0.0001220703125,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.3.conv.bias.tensor,conv.3.conv.bias,conv,Convolution front-end,0,3.0,conv_bias,Conv,128,128,-0.27887842059135437,0.6861683130264282,-0.2885533273220062,0.7113722562789917,-0.009674900211393833,0.03879958391189575,2.8433711528778076,0.4524084871709388,0.2289581298828125,8.379785792997541,8.68516717779514,0.053988073006464445,0.9992346208324258,0.0078125,0.009770885109901428,0.09505434334278107,0.13628995418548584,0.21749094128608704,0.014239778742194176,0.1385291963815689,0.19862467050552368,0.31696441769599915,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.3.conv.weight.tensor,conv.3.conv.weight,conv,Convolution front-end,0,3.0,conv_weight,Conv,128x128x9,147456,2.159507403121097e-06,0.045519500970840454,-3.9218197343871e-05,0.04674958437681198,-4.13776833738666e-05,0.0031326294410973787,211.23785400390625,1.2030346328684223,0.15108752250671387,17.479488886643146,17.951846669023357,0.06882550403333851,0.9980493191627303,0.0059678819961845875,0.0006109876558184624,0.005397769622504711,0.012536754831671715,0.029242131859064102,0.013422544114291668,0.11858144402503967,0.27541497349739075,0.6424087285995483,0.00027126737404614687,4.747178900288418e-05,1.3563368156610522e-05,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.4.conv.bias.tensor,conv.4.conv.bias,conv,Convolution front-end,0,4.0,conv_bias,Conv,512,512,0.018486348912119865,0.1553741842508316,0.017723457887768745,0.15701429545879364,-0.0007628884632140398,0.008562113158404827,2.123718738555908,0.1945060196566484,0.11117982864379883,3.5405137074041804,3.575390299585845,0.05493723107181545,0.998553653310532,0.03515625,0.002102409489452839,0.015119777992367744,0.03486073017120361,0.08015506714582443,0.013531265780329704,0.09731202572584152,0.22436627745628357,0.5158840417861938,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,conv.4.conv.weight.tensor,conv.4.conv.weight,conv,Convolution front-end,0,4.0,conv_weight,Conv,512x128x5,327680,0.0007904483936727047,0.04287688806653023,0.000781928189098835,0.042456287890672684,-8.52016637509223e-06,0.00243637477979064,373.7752990722656,1.3946707092136001,0.09861293435096741,24.54832830078825,24.307513748003416,0.056813266146874875,0.9984188136760255,0.02569580078125,0.0005167089402675629,0.004180232062935829,0.009057324379682541,0.02413894608616829,0.012050986289978027,0.09749380499124527,0.21124018728733063,0.5629825592041016,0.000274658203125,3.051757857974735e-06,0.0,0.0
